999;buizerd of wespendief;Buz/Wesp;;;;;;;;;;;;;;;;;;;
1062;water of oeverpieper;Water/Oeverpieper;;;;;;;;;;;;;;;;;;;
1074;koolwitje spec;KoolWitSpec;;;;;;;;;;;;;;;;;;;
1081;boompieper/sib. boompieper;Boompieper/Sib. Boompieper;;;;;;;;;;;;;;;;;;;
1102;blauwe of grauwe of steppekiekendief;Bl/Gr/Steppekiek;;;;;;;;;;;;;;;;;;;
1119;hommel spec;HommelSpec;;;;;;;;;;;;;;;;;;;
2313;kleine steltloper spec;KlSteltSpec;;;;;;;;;;;;;;;;;;;
2314;grote steltloper spec;GroSteltSpec;;;;;;;;;;;;;;;;;;;
4614;heidelibel spec;HeideLiSpec;;;;;;;;;;;;;;;;;;;
4868;koereiger of kleine zilverreiger;Koe/KlZil;;;;;;;;;;;;;;;;;;;
446;tjiftjaf of fitis;Tjif/Fitis;;;;;;;;;;;;;;;;;;;
